EPIC,Date Time,Mid Price,Currency
III,2015-Q1,4.89,GBP
ADN,2015-Q1,3.23,GBP
ADM,2015-Q1,16.14,GBP
AAL,2015-Q1,7.53,GBP
ANTO,2015-Q1,6.20,GBP
ARM,2015-Q1,9.65,GBP
AHT,2015-Q1,9.81,GBP
ABF,2015-Q1,31.51,GBP
AZN,2015-Q1,43.00,GBP
AV.,2015-Q1,4.75,GBP
BAB,2015-Q1,9.75,GBP
BA.,2015-Q1,4.47,GBP
BARC,2015-Q1,2.64,GBP
BDEV,2015-Q1,6.44,GBP
BG,2015-Q1,1.00,GBP
BLT,2015-Q1,11.38,GBP
BP,2015-Q1,3.45,GBP
BATS,2015-Q1,34.57,GBP
BLND,2015-Q1,8.27,GBP
BT.A,2015-Q1,4.37,GBP
BNZL,2015-Q1,17.58,GBP
BRBY,2015-Q1,14.10,GBP
CPI,2015-Q1,12.34,GBP
CCL,2015-Q1,33.94,GBP
CNA,2015-Q1,2.39,GBP
CCH,2015-Q1,13.42,GBP
CPG,2015-Q1,10.32,GBP
CRH,2015-Q1,19.56,GBP
DGE,2015-Q1,17.39,GBP
DLG,2015-Q1,3.60,GBP
DC.,2015-Q1,4.19,GBP
EZJ,2015-Q1,17.94,GBP
EXPN,2015-Q1,10.82,GBP
FRES,2015-Q1,6.28,GBP
GFS,2015-Q1,2.49,GBP
GKN,2015-Q1,2.83,GBP
GSK,2015-Q1,13.17,GBP
GLEN,2015-Q1,1.44,GBP
HMSO,2015-Q1,6.28,GBP
HL,2015-Q1,11.72,GBP
HIK,2015-Q1,23.85,GBP
HSBA,2015-Q1,5.18,GBP
IMT,2015-Q1,32.38,GBP
ISAT,2015-Q1,10.21,GBP
IHG,2015-Q1,24.33,GBP
IAG,2015-Q1,5.86,GBP
ITRK,2015-Q1,25.22,GBP
INTU,2015-Q1,3.23,GBP
ITV,2015-Q1,2.52,GBP
JMAT,2015-Q1,27.23,GBP
KGF,2015-Q1,3.55,GBP
LAND,2015-Q1,12.56,GBP
LGEN,2015-Q1,2.57,GBP
LLOY,2015-Q1,0.76,GBP
LSE,2015-Q1,25.43,GBP
MKS,2015-Q1,5.13,GBP
MGGT,2015-Q1,4.96,GBP
MERL,2015-Q1,3.89,GBP
MNDI,2015-Q1,14.97,GBP
MRW,2015-Q1,1.74,GBP
NG.,2015-Q1,8.69,GBP
NXT,2015-Q1,75.97,GBP
OML,2015-Q1,1.94,GBP
PSON,2015-Q1,11.57,GBP
PSN,2015-Q1,21.08,GBP
PRU,2015-Q1,14.29,GBP
RRS,2015-Q1,37.56,GBP
RB.,2015-Q1,58.32,GBP
REL,2015-Q1,10.74,GBP
RIO,2015-Q1,24.00,GBP
RR,2015-Q1,7.31,GBP
RBS,2015-Q1,3.33,GBP
RDSA,2015-Q1,16.68,GBP
RDSB,2015-Q1,16.69,GBP
RMG,2015-Q1,4.70,GBP
RSA,2015-Q1,5.07,GBP
SAB,2015-Q1,30.44,GBP
SGE,2015-Q1,5.12,GBP
SBRY,2015-Q1,2.43,GBP
SDR,2015-Q1,29.21,GBP
SVT,2015-Q1,21.07,GBP
SHP,2015-Q1,49.60,GBP
SKY,2015-Q1,10.40,GBP
SN,2015-Q1,11.85,GBP
SMIN,2015-Q1,11.15,GBP
SPD,2015-Q1,7.82,GBP
SSE,2015-Q1,14.98,GBP
STJ,2015-Q1,7.44,GBP
STAN,2015-Q1,4.25,GBP
SL.,2015-Q1,8.89,GBP
TW.,2015-Q1,2.00,GBP
TSCO,2015-Q1,1.91,GBP
TPK,2015-Q1,20.23,GBP
TUI,2015-Q1,12.16,GBP
ULVR,2015-Q1,26.49,GBP
UU,2015-Q1,8.74,GBP
VOD,2015-Q1,2.30,GBP
WEIR,2015-Q1,12.73,GBP
WTB,2015-Q1,46.83,GBP
WOS,2015-Q1,42.32,GBP
WPP,2015-Q1,13.81,GBP
